ID,name,f_class,label_1,label_2,abbr,bldng_phrase_list,info_description,image
101834,Nelson Hall East,Building,,,NHE,something,Something abouth Something for something and more something,link to something
112722,University Center,Building,,,UC,,Something abouth Something for something and more something,link to something
113542,Forbes Gym,Building,,,FGYM,,Something abouth Something for something and more something,link to something
119725,Hemlock,Building,,,None,,Something abouth Something for something and more something,link to something
119803,Parking Services,Building,,,None,,Something abouth Something for something and more something,link to something
125981,Community Services,Building,,,CCCTR,,Something abouth Something for something and more something,link to something
127757,Mendocino,Building,,,None,,Something abouth Something for something and more something,link to something
147024,Trinity,Building,,,None,,Something abouth Something for something and more something,link to something
153144,Shasta,Building,,,None,,Something abouth Something for something and more something,link to something
153743,Del Norte,Building,,,None,,Something abouth Something for something and more something,link to something
158648,College Creek Field Gate,Building,,,None,,Something abouth Something for something and more something,link to something
159275,Schatz Energy Research Center,Building,,,SERC,,Something abouth Something for something and more something,link to something
159778,,Building,,,,,Something abouth Something for something and more something,link to something
178291,Campus Apartments,Building,,,CA,,Something abouth Something for something and more something,link to something
178654,Kinesiology and Athletics,Building,,,KA,,Something abouth Something for something and more something,link to something
191859,Student Recreation Center,Building,,,SRC,,Something abouth Something for something and more something,link to something
200037,CCAT,Building,,,BUCH,,Something abouth Something for something and more something,link to something
206958,Little Apartments,Building,,,LAPT,,Something abouth Something for something and more something,link to something
207735,Student and Business Services,Building,,,SBS,,Something abouth Something for something and more something,link to something
214732,Cypress Hall,Building,,,CYPRS,,Something abouth Something for something and more something,link to something
221817,Fish Hatchery,Building,,,CYPRS,,Something abouth Something for something and more something,link to something
223940,Fish Hatchery,Building,,,CYPRS,,Something abouth Something for something and more something,link to something
224357,Creekside Lounge,Building,,,Creek,,Something abouth Something for something and more something,link to something
242978,Wildlife and Fisheries,Building,,,WLDF,,Something abouth Something for something and more something,link to something
246891,Nelson Hall West,Building,,,NHW,,Something abouth Something for something and more something,link to something
260649,Shipping and Receiving,Building,,,SR,,Something abouth Something for something and more something,link to something
279294,Experiemental Greenhouse,Building,,,None,,Something abouth Something for something and more something,link to something
284311,Jolly Giant Commons,Building,,,JGC,,Something abouth Something for something and more something,link to something
294814,Gist Hall,Building,,,GH,,Something abouth Something for something and more something,link to something
297810,Recreation and Wellness Center,Building,,,RWC,,Something abouth Something for something and more something,link to something
303976,Hadley House,Building,,,None,,Something abouth Something for something and more something,link to something
304896,Marine Wildlife Care Center,Building,,,MWCC,,Something abouth Something for something and more something,link to something
311187,Boat Facility,Building,,,Boat,,Something abouth Something for something and more something,link to something
318953,East Bleachers,Building,,,Boat,,Something abouth Something for something and more something,link to something
353030,Concession,Building,,,Boat,,Something abouth Something for something and more something,link to something
358151,Brookins House,Building,,,None,,Something abouth Something for something and more something,link to something
359149,Science C,Building,,,SCIC,,Something abouth Something for something and more something,link to something
363395,Science A,Building,,,SCIA,,Something abouth Something for something and more something,link to something
400542,Science B,Building,,,SCIB,,Something abouth Something for something and more something,link to something
404865,Jenkins Hall,Building,,,JH,,Something abouth Something for something and more something,link to something
405352,Wagner House,Building,,,WAGH,,Something abouth Something for something and more something,link to something
410510,Sculpture Lab,Building,,,SCLPT,,Something abouth Something for something and more something,link to something
416926,Ceramics Lab,Building,,,CERAM,,Something abouth Something for something and more something,link to something
421062,Child Development Lab,Building,,,CDL,,Something abouth Something for something and more something,link to something
422212,Harry Griffith Hall,Building,,,HGH,,Something abouth Something for something and more something,link to something
422772,Forestry,Building,,,FR,,Something abouth Something for something and more something,link to something
422778,Natural Resources,Building,,,NR,,Something abouth Something for something and more something,link to something
434211,Jensen House,Building,,,JENH,,Something abouth Something for something and more something,link to something
457708,Baiocchi House,Building,,,BH,,Something abouth Something for something and more something,link to something
458783,Baiocchi House,Building,,,BH,,Something abouth Something for something and more something,link to something
466162,Mary Warren House,Building,,,MWH,,Something abouth Something for something and more something,link to something
471210,Toddler Center,Building,,,TOD,,Something abouth Something for something and more something,link to something
478430,Walter Warren House,Building,,,WWH,,Something abouth Something for something and more something,link to something
481086,Marketing and Communication,Building,,,MCOM,,Something abouth Something for something and more something,link to something
499977,,Building,,,,,Something abouth Something for something and more something,link to something
508750,Facilities Management,Building,,,FM,,Something abouth Something for something and more something,link to something
516927,Trinity Annex,Building,,,TRIN,,Something abouth Something for something and more something,link to something
521946,Warren House,Building,,,None,,Something abouth Something for something and more something,link to something
538046,Bret Harte House,Building,,,BHH,,Something abouth Something for something and more something,link to something
542674,MultiCultural Center,Building,,,BALH,,Something abouth Something for something and more something,link to something
548845,Telonicher House,Building,,,TH,,Something abouth Something for something and more something,link to something
555564,Redwood Hall,Building,,,REDWO,,Something abouth Something for something and more something,link to something
563391,Sunset Hall,Building,,,SUNST,,Something abouth Something for something and more something,link to something
564679,Library,Building,,,LIB,,Something abouth Something for something and more something,link to something
570724,Hagopian House,Building,,,HAH,,Something abouth Something for something and more something,link to something
591950,Brero House,Building,,,BRH,,Something abouth Something for something and more something,link to something
594381,Feuerwerker House,Building,,,BRH,,Something abouth Something for something and more something,link to something
599510,West Bleachers,Building,,,BRH,,Something abouth Something for something and more something,link to something
600543,Van Matre Hall,Building,,,VMH,,Something abouth Something for something and more something,link to something
606841,Willow,Building,,,Willow,,Something abouth Something for something and more something,link to something
607957,Laurel,Building,,,Laurel,,Something abouth Something for something and more something,link to something
611841,Fern,Building,,,Fern,,Something abouth Something for something and more something,link to something
613851,Juniper,Building,,,Juniper,,Something abouth Something for something and more something,link to something
630305,Student Health Center,Building,,,SHS,,Something abouth Something for something and more something,link to something
654304,Music A,Building,,,MusicB,,Something abouth Something for something and more something,link to something
655894,Art B,Building,,,Art B,,Something abouth Something for something and more something,link to something
661042,Art A,Building,,,Art B,,Something abouth Something for something and more something,link to something
679820,Music A,Building,,,Music A,,Something abouth Something for something and more something,link to something
693280,Chinquapin,Building,,,None,,Something abouth Something for something and more something,link to something
698832,Madrone,Building,,,None,,Something abouth Something for something and more something,link to something
702038,Pepperwood,Building,,,None,,Something abouth Something for something and more something,link to something
711482,Alder,Building,,,None,,Something abouth Something for something and more something,link to something
719991,Maple,Building,,,None,,Something abouth Something for something and more something,link to something
728723,Tan Oak,Building,,,None,,Something abouth Something for something and more something,link to something
730186,Cedar,Building,,,None,,Something abouth Something for something and more something,link to something
733299,Founders Hall,Building,,,FH,,Something abouth Something for something and more something,link to something
738923,Van Duzer Theatre,Building,,,TA,,Something abouth Something for something and more something,link to something
743201,Siemens Hall,Building,,,SH,,Something abouth Something for something and more something,link to something
744859,Wildlife Facilities,Building,,,SH,,Something abouth Something for something and more something,link to something
748576,Wildlife Facilities,Building,,,SH,,Something abouth Something for something and more something,link to something
757139,Wildlife Facilities,Building,,,SH,,Something abouth Something for something and more something,link to something
759052,Behavioral and Social Sciences,Building,,,BSS,,Something abouth Something for something and more something,link to something
762344,Native American Forum,Building,,,NAF,,Something abouth Something for something and more something,link to something
782598,Science D,Building,,,SCID,,Something abouth Something for something and more something,link to something
792697,Dennis K Walker Greenhouse,Building,,,SCIE,,Something abouth Something for something and more something,link to something
3458211,Bookstore,Building,,,Bookstore,,Something abouth Something for something and more something,link to something
